Part;Value;Device;Package;Description;MFG;MPN;OC_LOMEX;OC_KONTEL
SJ2;"Open: TIL302; Short: TIL311";SJ;SJ;SMD solder JUMPER;;;;
SJ3;"1-2: TIL302; 2-3: TIL311";SJ2W;SJ_2;SMD solder JUMPER;;;;
SJ4;Short: NTSC;SJ;SJ;SMD solder JUMPER;;;;
SJ5;Short: PAL;SJ;SJ;SMD solder JUMPER;;;;
SPK1;8R/1W speaker;8R/1W speaker;8R/1W speaker;"Foster 1H43V; Visaton 2941 20x40mm speaker";;;;
SW1;PS8001;P1-XS/08PS8002;P1-XS;8x8 mm DPDT latch switch;;;45-11-90;
SW2;PS8001;P1-XS/08PS8002;P1-XS;8x8 mm DPDT latch switch;;;45-11-90;
SW3;PS8001;P1-XS/08PS8002;P1-XS;8x8 mm DPDT latch switch;;;45-11-90;
SW4;PS8001;P1-XS/08PS8002;P1-XS;8x8 mm DPDT latch switch;;;45-11-90;
SW5;PS8001;P1-XS/08PS8002;P1-XS;8x8 mm DPDT latch switch;;;45-11-90;
T1;BC546A;BC546A;TO92-EBC;NPN Transistor;;;;
;;;;;;;;
Controller:;;;;;;;;
2 pcs;250k potmeter;XP-9011M-B250K ;;LIN MONO D=6 KP-148M-B1M00 6x25mm, 18, 17mm house, screw M7x0.75, CARBON, 300°;;;06-02-69;900733
2 pcs;Knobs for potentiometers;K18B-35;;FORGATÓGOMB K18B-35 FEKETE 40X13,5MM;CLIFF;;;914081
;;K18A-35;;FORGATÓGOMB K18A-35 SZÜRKE 40X13,5MM;CLIFF;;;914080
;;;;;;;;
Mechanical parts:;;;;;;;;
8 pcs;Cap for switches and buttons (size: A04);;;;;;;
2 pcs;Insulator for Crystal Mounts Mylar +250°C HC-49/U 0,127mm;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
